,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,Plettenberg Bay,-34.0527,23.3716,57.11,72,91,10.63,ZA,1658888912
337,Taoudenni,22.6783,-3.9836,96.33,11,0,10.04,ML,1658888912
338,Beringovskiy,63.05,179.3167,46.36,96,100,11.61,RU,1658888913
339,Ouésso,1.6136,16.0517,69.06,96,71,2.8,CG,1658888913
340,Vung Tau,10.346,107.0843,82.04,76,97,3.0,VN,1658888913
341,Cabedelo,-6.9811,-34.8339,72.27,86,46,9.64,BR,1658888914
342,Merrill,45.1805,-89.6835,72.03,96,100,3.44,US,1658888767
343,Ilulissat,69.2167,-51.1,42.82,93,100,5.75,GL,1658888844
344,Saint-Louis,16.3333,-15.0,86.74,61,86,11.18,SN,1658888914
345,Nioro,13.35,-15.75,76.39,92,93,8.84,GM,1658888915
346,Panambi,-28.2925,-53.5017,63.52,89,3,6.8,BR,1658888915
347,Soe,-9.8607,124.284,75.09,49,50,9.78,ID,1658888846
348,Bitung,1.4451,125.1824,90.45,75,100,10.74,ID,1658888916
349,Ewo,-0.8725,14.8206,71.56,75,32,5.5,CG,1658888916
350,Amapá,1.0,-52.0,72.0,99,100,1.88,BR,1658888917
351,Latung,5.5,120.8833,83.08,74,100,6.22,PH,1658888917
352,Ierapetra,35.01,25.7353,82.15,34,0,8.99,GR,1658888918
353,Esim,4.8699,-2.2405,75.61,87,87,10.92,GH,1658888918
354,Charagua,-19.8,-63.2167,74.07,57,0,11.7,BO,1658888918
355,Tanete,-3.9443,119.7848,84.52,67,76,13.29,ID,1658888919
